fold,sub_fold,TP,FP,FN,Type
s15,15_0101disgustingteeth,0,0,0,micro-expression
s15,15_0102eatingworms,0,5,1,micro-expression
s15,15_0401girlcrashing,0,20,0,micro-expression
s15,15_0402beatingpregnantwoman,0,44,0,micro-expression
s15,15_0502funnyerrors,0,1,1,micro-expression
s15,15_0503unnyfarting,0,31,0,micro-expression
s15,15_0505funnyinnovations,0,7,0,micro-expression
s15,15_0508funnydunkey,0,2,0,micro-expression
s16,16_0101disgustingteeth,0,3,1,micro-expression
s16,16_0102eatingworms,0,1,1,micro-expression
s16,16_0401girlcrashing,0,6,0,micro-expression
s16,16_0402beatingpregnantwoman,0,4,0,micro-expression
s16,16_0502funnyerrors,0,7,1,micro-expression
s16,16_0505funnyinnovations,0,0,3,micro-expression
s16,16_0507climbingthewall,0,0,2,micro-expression
s19,19_0102eatingworms,0,5,0,micro-expression
s19,19_0402beatingpregnantwoman,0,10,1,micro-expression
s19,19_0505funnyinnovations,0,19,0,micro-expression
s19,19_0507climbingthewall,0,22,0,micro-expression
s19,23_0502funnyerrors,0,19,0,micro-expression
s20,20_0502funnyerrors,0,7,0,micro-expression
s21,21_0101disgustingteeth,0,23,0,micro-expression
s21,21_0401girlcrashing,0,0,0,micro-expression
s22,22_0101disgustingteeth,0,6,0,micro-expression
s22,22_0102eatingworms,0,10,0,micro-expression
s22,22_0402beatingpregnantwoman,0,55,0,micro-expression
s22,22_0503unnyfarting,0,13,0,micro-expression
s22,22_0508funnydunkey,0,10,0,micro-expression
s23,23_0102eatingworms,3,11,0,micro-expression
s23,23_0402beatingpregnantwoman,0,39,0,micro-expression
s23,23_0503unnyfarting,0,32,0,micro-expression
s23,23_0507climbingthewall,0,30,0,micro-expression
s24,24_0101disgustingteeth,0,21,0,micro-expression
s24,24_0401girlcrashing,0,1,5,micro-expression
s24,24_0402beatingpregnantwoman,0,3,0,micro-expression
s24,24_0502funnyerrors,0,5,0,micro-expression
s24,24_0507climbingthewall,0,33,3,micro-expression
s25,25_0101disgustingteeth,0,13,1,micro-expression
s25,25_0102eatingworms,1,14,2,micro-expression
s25,25_0502funnyerrors,0,14,0,micro-expression
s25,25_0508funnydunkey,0,0,0,micro-expression
s26,26_0101disgustingteeth,0,23,0,micro-expression
s26,26_0102eatingworms,0,4,0,micro-expression
s26,26_0401girlcrashing,0,10,0,micro-expression
s26,26_0503unnyfarting,0,1,0,micro-expression
s27,27_0101disgustingteeth,0,7,1,micro-expression
s27,27_0102eatingworms,0,0,3,micro-expression
s27,27_0401girlcrashing,2,30,2,micro-expression
s27,27_0402beatingpregnantwoman,0,21,0,micro-expression
s27,27_0502funnyerrors,1,25,0,micro-expression
s27,27_0503unnyfarting,0,25,1,micro-expression
s27,27_0505funnyinnovations,0,10,0,micro-expression
s27,27_0507climbingthewall,0,32,1,micro-expression
s27,27_0508funnydunkey,0,1,0,micro-expression
s29,29_0502funnyerrors,1,3,0,micro-expression
s30,30_0101disgustingteeth,0,0,1,micro-expression
s30,30_0102eatingworms,0,1,0,micro-expression
s30,30_0401girlcrashing,0,0,1,micro-expression
s30,30_0502funnyerrors,0,0,0,micro-expression
s30,30_0503unnyfarting,0,0,0,micro-expression
s30,30_0505funnyinnovations,0,0,0,micro-expression
s30,30_0507climbingthewall,0,1,0,micro-expression
s31,31_0101disgustingteeth,0,0,1,micro-expression
s31,31_0401girlcrashing,0,24,0,micro-expression
s31,31_0402beatingpregnantwoman,0,3,4,micro-expression
s31,31_0502funnyerrors,0,17,0,micro-expression
s31,31_0503unnyfarting,0,10,0,micro-expression
s31,31_0505funnyinnovations,0,3,1,micro-expression
s31,31_0507climbingthewall,0,0,0,micro-expression
s32,32_0101disgustingteeth,0,3,0,micro-expression
s32,32_0102eatingworms,0,1,0,micro-expression
s32,32_0401girlcrashing,0,0,1,micro-expression
s32,32_0402beatingpregnantwoman,0,0,0,micro-expression
s32,32_0502funnyerrors,0,9,2,micro-expression
s32,32_0503unnyfarting,0,0,2,micro-expression
s32,32_0505funnyinnovations,0,1,0,micro-expression
s32,32_0507climbingthewall,0,5,0,micro-expression
s32,32_0508funnydunkey,0,0,1,micro-expression
s33,33_0102eatingworms,0,6,0,micro-expression
s33,33_0402beatingpregnantwoman,0,62,0,micro-expression
s34,34_0401girlcrashing,0,5,0,micro-expression
s34,34_0402beatingpregnantwoman,0,5,0,micro-expression
s34,34_0503unnyfarting,0,2,0,micro-expression
s35,35_0102eatingworms,0,6,2,micro-expression
s36,36_0401girlcrashing,0,6,0,micro-expression
s36,36_0505funnyinnovations,0,0,0,micro-expression
s37,37_0101disgustingteeth,0,14,0,micro-expression
s37,37_0402beatingpregnantwoman,0,16,1,micro-expression
s37,37_0502funnyerrors,0,21,0,micro-expression
s37,37_0505funnyinnovations,0,30,0,micro-expression
s37,37_0507climbingthewall,0,20,0,micro-expression
s37,37_0508funnydunkey,0,8,1,micro-expression
s38,38_0502funnyerrors,0,1,0,micro-expression
s38,38_0507climbingthewall,0,42,1,micro-expression
s40,40_0401girlcrashing,0,51,0,micro-expression
s40,40_0502funnyerrors,0,33,0,micro-expression
s40,40_0503unnyfarting,0,29,0,micro-expression
