fold,sub_fold,Onset,Apex,Offset,type
s15,15_0401girlcrashing,557,572,608,macro-expression
s15,15_0401girlcrashing,2854,2862,2871,macro-expression
s15,15_0402beatingpregnantwoman,2155,2163,2171,macro-expression
s15,15_0402beatingpregnantwoman,3363,3371,3383,macro-expression
s15,15_0402beatingpregnantwoman,3380,3386,3407,macro-expression
s15,15_0402beatingpregnantwoman,3738,3757,3822,macro-expression
s15,15_0402beatingpregnantwoman,3761,3771,3779,macro-expression
s15,15_0101disgustingteeth,1195,1218,1266,macro-expression
s15,15_0102eatingworms,396,401,430,macro-expression
s15,15_0102eatingworms,407,414,435,macro-expression
s15,15_0102eatingworms,699,703,707,micro-expression
s15,15_0102eatingworms,781,790,802,macro-expression
s15,15_0502funnyerrors,138,142,148,micro-expression
s15,15_0502funnyerrors,178,190,202,macro-expression
s15,15_0502funnyerrors,2203,2218,2227,macro-expression
s15,15_0503unnyfarting,2457,2476,2510,macro-expression
s15,15_0505funnyinnovations,1403,1412,1436,macro-expression
s16,16_0401girlcrashing,554,569,617,macro-expression
s16,16_0401girlcrashing,1656,1675,1700,macro-expression
s16,16_0401girlcrashing,1741,1758,1780,macro-expression
s16,16_0401girlcrashing,3580,3589,3599,macro-expression
s16,16_0402beatingpregnantwoman,415,421,457,macro-expression
s16,16_0402beatingpregnantwoman,1382,1391,1416,macro-expression
s16,16_0402beatingpregnantwoman,1540,1555,1577,macro-expression
s16,16_0402beatingpregnantwoman,1865,1881,1911,macro-expression
s16,16_0402beatingpregnantwoman,2149,2162,2210,macro-expression
s16,16_0402beatingpregnantwoman,2712,2724,2752,macro-expression
s16,16_0402beatingpregnantwoman,2905,2912,2937,macro-expression
s16,16_0402beatingpregnantwoman,3409,3421,3461,macro-expression
s16,16_0402beatingpregnantwoman,3932,3943,3954,macro-expression
s16,16_0101disgustingteeth,167,184,199,macro-expression
s16,16_0101disgustingteeth,333,346,359,macro-expression
s16,16_0101disgustingteeth,552,559,565,micro-expression
s16,16_0101disgustingteeth,697,715,725,macro-expression
s16,16_0101disgustingteeth,915,942,965,macro-expression
s16,16_0101disgustingteeth,1228,1237,1284,macro-expression
s16,16_0101disgustingteeth,1792,1799,1836,macro-expression
s16,16_0101disgustingteeth,1794,1808,1842,macro-expression
s16,16_0102eatingworms,187,214,240,macro-expression
s16,16_0102eatingworms,173,186,248,macro-expression
s16,16_0102eatingworms,270,275,278,micro-expression
s16,16_0102eatingworms,317,354,400,macro-expression
s16,16_0102eatingworms,322,334,356,macro-expression
s16,16_0102eatingworms,322,334,359,macro-expression
s16,16_0102eatingworms,420,430,445,macro-expression
s16,16_0102eatingworms,526,535,543,macro-expression
s16,16_0102eatingworms,720,727,741,macro-expression
s16,16_0502funnyerrors,323,329,334,micro-expression
s16,16_0502funnyerrors,338,347,373,macro-expression
s16,16_0502funnyerrors,850,880,894,macro-expression
s16,16_0502funnyerrors,1098,1114,1148,macro-expression
s16,16_0502funnyerrors,1405,1415,1441,macro-expression
s16,16_0502funnyerrors,1470,1480,1523,macro-expression
s16,16_0502funnyerrors,2193,2207,2220,macro-expression
s16,16_0505funnyinnovations,68,77,89,macro-expression
s16,16_0505funnyinnovations,396,400,407,micro-expression
s16,16_0505funnyinnovations,991,997,1003,macro-expression
s16,16_0505funnyinnovations,1135,1148,1205,macro-expression
s16,16_0505funnyinnovations,1352,1358,1388,macro-expression
s16,16_0505funnyinnovations,1595,1604,1615,macro-expression
s16,16_0505funnyinnovations,1610,1625,1678,macro-expression
s16,16_0505funnyinnovations,1695,1703,1710,micro-expression
s16,16_0505funnyinnovations,1880,1886,1895,micro-expression
s16,16_0505funnyinnovations,1902,1915,1952,macro-expression
s16,16_0505funnyinnovations,2239,2261,2295,macro-expression
s16,16_0507climbingthewall,844,858,870,macro-expression
s16,16_0507climbingthewall,1571,1584,1633,macro-expression
s16,16_0507climbingthewall,1958,1961,1968,micro-expression
s16,16_0507climbingthewall,2285,2291,2295,micro-expression
s16,16_0507climbingthewall,2338,2344,2411,macro-expression
s16,16_0507climbingthewall,3169,3180,3215,macro-expression
s19,19_0102eatingworms,822,841,865,macro-expression
s19,19_0102eatingworms,887,897,926,macro-expression
s19,19_0402beatingpregnantwoman,1927,1933,1942,micro-expression
s19,19_0505funnyinnovations,1755,1771,1808,macro-expression
s19,19_0507climbingthewall,2977,2986,3039,macro-expression
s20,20_0502funnyerrors,981,993,999,macro-expression
s20,20_0502funnyerrors,1125,1137,1161,macro-expression
s20,20_0502funnyerrors,1403,1432,1499,macro-expression
s21,21_0401girlcrashing,3379,3386,3411,macro-expression
s21,21_0101disgustingteeth,169,177,191,macro-expression
s22,22_0402beatingpregnantwoman,3246,3270,3294,macro-expression
s22,22_0101disgustingteeth,366,376,393,macro-expression
s22,22_0101disgustingteeth,380,391,402,macro-expression
s22,22_0101disgustingteeth,510,525,540,macro-expression
s22,22_0101disgustingteeth,1562,1571,1580,macro-expression
s22,22_0101disgustingteeth,1573,1578,1583,macro-expression
s22,22_0101disgustingteeth,1645,1650,1655,macro-expression
s22,22_0101disgustingteeth,1706,1716,1728,macro-expression
s22,22_0101disgustingteeth,1752,1760,1768,macro-expression
s22,22_0101disgustingteeth,1822,1840,1855,macro-expression
s22,22_0101disgustingteeth,1915,1927,1941,macro-expression
s22,22_0102eatingworms,301,316,320,macro-expression
s22,22_0102eatingworms,321,337,353,macro-expression
s22,22_0102eatingworms,904,912,920,macro-expression
s22,22_0503unnyfarting,2758,2774,2790,macro-expression
s22,22_0508funnydunkey,81,115,149,macro-expression
s23,23_0402beatingpregnantwoman,3685,3701,3719,macro-expression
s23,23_0402beatingpregnantwoman,3799,3811,3818,macro-expression
s23,23_0402beatingpregnantwoman,3879,3891,3903,macro-expression
s23,23_0102eatingworms,331,335,346,micro-expression
s23,23_0102eatingworms,526,530,540,micro-expression
s23,23_0102eatingworms,727,732,740,micro-expression
s23,23_0102eatingworms,913,925,940,macro-expression
s23,23_0102eatingworms,997,1002,1015,macro-expression
s23,23_0507climbingthewall,2744,2753,2764,macro-expression
s24,24_0401girlcrashing,355,362,385,macro-expression
s24,24_0401girlcrashing,434,441,450,macro-expression
s24,24_0401girlcrashing,608,615,621,micro-expression
s24,24_0401girlcrashing,963,967,977,micro-expression
s24,24_0401girlcrashing,1262,1269,1276,macro-expression
s24,24_0401girlcrashing,1890,1898,1902,micro-expression
s24,24_0401girlcrashing,1903,1916,1950,macro-expression
s24,24_0401girlcrashing,2181,2187,2193,micro-expression
s24,24_0401girlcrashing,2208,2266,2276,macro-expression
s24,24_0401girlcrashing,2543,2565,2576,macro-expression
s24,24_0401girlcrashing,3411,3424,3440,macro-expression
s24,24_0401girlcrashing,3441,3447,3453,micro-expression
s24,24_0402beatingpregnantwoman,3297,3309,3342,macro-expression
s24,24_0402beatingpregnantwoman,3553,3563,3599,macro-expression
s24,24_0101disgustingteeth,1356,1364,1380,macro-expression
s24,24_0101disgustingteeth,1383,1389,1419,macro-expression
s24,24_0502funnyerrors,852,858,869,macro-expression
s24,24_0502funnyerrors,1078,1094,1101,macro-expression
s24,24_0502funnyerrors,1584,1597,1630,macro-expression
